end_date,profit_dedt,n_cashflow_act,total_cur_liab,total_ncl,total_assets,total_revenue,oper_cost,total_cur_assets,ts_code
20220630,16221027.290000003,26021357.959999997,394604281.47,15311852.75,1292392187.06,181794413.10000002,140449469.10999998,788342322.75,603311.SH
20220331,21142559.91,16842120.3,367780632.31,12345496.86,1256605486.45,201478102.51,145036613.78,773022145.69,603311.SH
20211231,-739829.0700000003,22761823.019999996,418253811.31,12612896.09,1285800960.65,203368239.70000005,179133101.37,805462137.03,603311.SH
20210930,12677855.889999993,7555406.369999997,384309368.58,15176445.43,1257318472.56,163679875.42000002,114942046.92999998,794976209.25,603311.SH
20220930,325687803.77,316555766.59000003,5230221342.65,875287633.92,9636800043.35,2227737980.21,1786556850.4900002,6921530309.39,603355.SH
20220630,267268973.13000003,474807886.22999996,5806751229.2,863321453.07,9840410884.16,2159483186.4599996,1697865256.9399998,7175179599.42,603355.SH
20220331,209474893.48,73316544.58,5137953452.51,847453391.53,9441663988.7,2350642779.32,1812509933.66,6782658873.21,603355.SH
20211231,898403.75,126689455.42000002,4813908414.36,854298539.29,8912232138.05,2204629982.2699995,1757525597.71,6273564804.42,603355.SH
20210930,125597737.55000001,157932301.93,3075538571.51,764215431.28,7045905601.05,1671138835.94,1274622931.71,5690970195.31,603355.SH
20220930,22408338.739999995,20713486.72,245290441.93,25187971.44,1793043005.98,182560561.51,123383634.55000001,1495230211.93,605598.SH
20220630,5626137.100000009,-60098792.390000015,258406592.16,26051502.64,1801756528.23,166926033.88,124722891.85,1516917610.71,605598.SH
20220331,104783415.08,201645261.68,264489773.34,28005078.4,1797246177.33,243448078.0,95031165.16,1516338006.12,605598.SH
20211231,-7336489.330000006,19006815.869999997,235570897.41,27101863.56,1667280714.17,146261869.70000005,93963674.17000002,1376835694.46,605598.SH
20210930,16688842.020000003,-3340510.6899999976,311195386.02,26792455.12,1776011672.73,187570422.26999998,135214144.32999998,1497919684.91,605598.SH
20220930,114242886.36999995,274257619.01,5600584834.8,1127251477.62,15235173544.59,2644440024.5599995,2142099385.3500004,10688549429.65,002249.SZ
20220630,154209340.57000002,525280758.84,6372234686.62,1096124920.19,16051261544.65,2823025334.31,2322903385.62,11488517058.77,002249.SZ
20220331,115670312.15,60222586.69,6250615919.62,1062573892.13,15671786903.48,2683325084.32,2203071273.0,11023719314.24,002249.SZ
20211231,-186960311.16000003,177804776.72000003,5872009133.47,1083662205.58,15153862415.22,2692467163.159999,2127398658.2600002,10465810558.66,002249.SZ
20210930,116584359.95000002,163741428.81,5345341312.11,1024395534.15,14747536076.02,2674491110.0300007,2162959899.8399997,9756438935.25,002249.SZ
20220930,55298189.34,47755242.69999999,785863026.41,57252968.97,3362599776.37,404843373.8900001,276772668.92,3088299784.78,688248.SH
20220630,76666279.94,47975688.72,687611823.51,45072416.75,3197055028.11,457115070.53,299782787.92,2908078378.42,688248.SH
20220331,1563017.58,-210994922.76,576232020.73,43683073.61,3055963939.36,244069168.97,182177329.0,2778481144.22,688248.SH
20211231,83658291.08,348238120.9,683245949.46,43434834.31,3158203633.36,648485989.6200001,444847176.88000005,2875514035.54,688248.SH
20210930,10816509.409999996,-141436916.11,531949637.06,42833807.11,1925685029.84,229265160.53999996,165663782.98000002,1756402996.34,688248.SH
20220930,35717425.870000005,104817956.97,466968535.87,25046404.2,3193165938.79,383482150.03999996,202439498.89000005,1661390522.92,002349.SZ
20220630,58155304.63,93517267.65,457335761.48,25297354.61,3133982972.17,382816062.18999994,202958183.48000002,1571268595.9,002349.SZ
20220331,62208068.96,49036733.84,514980534.8,25625749.01,3186456433.06,408730383.6,205806800.32,1600055152.57,002349.SZ
20211231,37911486.730000004,77093034.42999998,603237286.18,25302511.88,3198096241.82,388859068.59000015,210418212.15999997,1595065547.12,002349.SZ
20210930,-9979418.49000001,44414075.849999994,553741538.63,20887316.01,3130243235.16,327532499.80999994,187047081.27000004,1439964356.29,002349.SZ
20220930,22169966.17,26745594.24000001,121341717.04,107838255.3,1898905129.3,71905018.95999998,26720494.750000007,1262290929.06,688150.SH
20220630,20469142.02,33386022.28999999,162838472.2,105637058.57,1901009320.91,76628097.26,29455975.83,1274068568.8,688150.SH
